iteracion,timestamp,theta,x,y,sigma_theta,sigma_x,sigma_y,lm0_x,lm0_y,lm1_x,lm1_y,z_diff_range,z_diff_bearing
135,1779735456.811739,-0.001001,-0.001029,0.000131,0.014181,0.013784,0.014011,-0.500948,-0.699324,0.798810,-0.800083,0.000592,0.000825
136,1779735456.851282,-0.000458,-0.000515,-0.000213,0.020356,0.018279,0.018027,-0.500952,-0.699321,0.798815,-0.800082,0.000029,-0.001718
137,1779735456.865071,-0.000288,-0.000542,-0.000074,0.017136,0.016741,0.015599,-0.500949,-0.699319,0.798813,-0.800086,0.000178,-0.000431
138,1779735456.879811,-0.000004,-0.000793,0.000031,0.014823,0.014389,0.014658,-0.500951,-0.699320,0.798812,-0.800075,-0.000148,-0.000996
139,1779735456.893718,-0.000299,-0.000557,0.000266,0.014183,0.013784,0.014011,-0.500950,-0.699307,0.798812,-0.800075,-0.000029,0.001561
140,1779735457.011791,-0.000678,-0.000926,0.000490,0.020353,0.018279,0.018027,-0.500947,-0.699309,0.798808,-0.800076,-0.000055,0.001197
141,1779735457.028174,-0.000562,-0.001021,0.000607,0.017125,0.016741,0.015598,-0.500947,-0.699307,0.798811,-0.800079,0.000346,-0.000174
142,1779735457.048947,-0.000710,-0.000968,0.000334,0.014820,0.014389,0.014658,-0.500949,-0.699314,0.798809,-0.800093,0.000920,0.000657
143,1779735457.062239,-0.000852,-0.001006,0.000630,0.014181,0.013784,0.014011,-0.500954,-0.699301,0.798804,-0.800087,-0.001298,0.000770
144,1779735457.209032,-0.001037,-0.001544,0.000219,0.020352,0.018279,0.018024,-0.500946,-0.699293,0.798799,-0.800090,-0.001193,0.000562
145,1779735457.227992,-0.001154,-0.000535,-0.000157,0.017123,0.016740,0.015598,-0.500917,-0.699303,0.798743,-0.800075,-0.003026,-0.001261
146,1779735457.247906,-0.001169,-0.000625,-0.000457,0.014814,0.014389,0.014658,-0.500920,-0.699313,0.798740,-0.800085,0.001139,0.000241
